id_tutoria,id_estudiante,id_docente,fecha,hora,modalidad,tema_tratado,actividades,compromisos,proxima_tutoria,asistencia,observaciones
1,112,104,2026-04-27,9:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-04,Asistió,Registro generado desde CSV.
2,13,108,2026-05-10,10:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-17,Justificado,Registro generado desde CSV.
3,16,98,2026-04-08,11:00,Virtual,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-15,Justificado,Registro generado desde CSV.
4,98,67,2026-04-14,10:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-21,No asistió,Registro generado desde CSV.
5,112,104,2026-04-25,11:00,Virtual,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-02,Asistió,Registro generado desde CSV.
6,145,28,2026-05-28,17:00,Presencial,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-04,No asistió,Registro generado desde CSV.
7,161,104,2026-06-10,15:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-17,Asistió,Registro generado desde CSV.
8,125,42,2026-03-06,12:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-13,Asistió,Registro generado desde CSV.
9,107,61,2026-05-24,10:00,Virtual,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-31,Justificado,Registro generado desde CSV.
10,104,87,2026-03-15,15:00,Presencial,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-22,No asistió,Registro generado desde CSV.
11,2,113,2026-06-03,12:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-10,Justificado,Registro generado desde CSV.
12,7,32,2026-03-18,10:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-25,Justificado,Registro generado desde CSV.
13,149,44,2026-04-11,9:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-18,Asistió,Registro generado desde CSV.
14,127,64,2026-04-06,11:00,Presencial,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-13,Asistió,Registro generado desde CSV.
15,28,69,2026-05-09,11:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-16,Asistió,Registro generado desde CSV.
16,165,91,2026-03-10,8:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-17,Asistió,Registro generado desde CSV.
17,26,61,2026-04-11,10:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-18,No asistió,Registro generado desde CSV.
18,35,88,2026-03-05,8:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-12,Asistió,Registro generado desde CSV.
19,47,97,2026-05-20,15:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-27,Justificado,Registro generado desde CSV.
20,91,18,2026-05-01,16:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-08,Asistió,Registro generado desde CSV.
21,98,67,2026-03-13,8:00,Presencial,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-20,Asistió,Registro generado desde CSV.
22,199,52,2026-06-01,11:00,Presencial,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-08,Justificado,Registro generado desde CSV.
23,144,66,2026-05-03,15:00,Presencial,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-10,Asistió,Registro generado desde CSV.
24,13,108,2026-04-24,10:00,Virtual,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-01,Asistió,Registro generado desde CSV.
25,144,66,2026-06-18,11:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-25,No asistió,Registro generado desde CSV.
26,18,82,2026-05-10,9:00,Virtual,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-17,Asistió,Registro generado desde CSV.
27,111,95,2026-04-20,8:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-27,Asistió,Registro generado desde CSV.
28,28,69,2026-05-20,8:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-27,No asistió,Registro generado desde CSV.
29,18,82,2026-06-16,8:00,Virtual,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-23,Asistió,Registro generado desde CSV.
30,202,14,2026-03-17,13:00,Presencial,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-24,Asistió,Registro generado desde CSV.
31,191,21,2026-04-22,13:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-29,Asistió,Registro generado desde CSV.
32,124,16,2026-04-24,13:00,Presencial,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-01,Asistió,Registro generado desde CSV.
33,206,67,2026-05-23,16:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-30,Justificado,Registro generado desde CSV.
34,86,16,2026-06-17,10:00,Presencial,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-24,Asistió,Registro generado desde CSV.
35,72,43,2026-05-22,16:00,Presencial,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-29,No asistió,Registro generado desde CSV.
36,40,36,2026-06-10,11:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-17,Asistió,Registro generado desde CSV.
37,25,79,2026-03-14,8:00,Presencial,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-21,Justificado,Registro generado desde CSV.
38,10,68,2026-04-08,10:00,Presencial,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-15,Asistió,Registro generado desde CSV.
39,197,100,2026-03-30,13:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-06,Asistió,Registro generado desde CSV.
40,195,42,2026-06-10,16:00,Presencial,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-17,No asistió,Registro generado desde CSV.
41,53,73,2026-05-13,17:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-20,Justificado,Registro generado desde CSV.
42,205,70,2026-05-16,13:00,Virtual,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-23,Asistió,Registro generado desde CSV.
43,195,42,2026-03-11,9:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-18,No asistió,Registro generado desde CSV.
44,22,52,2026-05-21,13:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-28,Asistió,Registro generado desde CSV.
45,7,32,2026-04-22,15:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-29,No asistió,Registro generado desde CSV.
46,141,29,2026-06-17,10:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-24,No asistió,Registro generado desde CSV.
47,184,98,2026-04-06,13:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-13,Justificado,Registro generado desde CSV.
48,68,94,2026-04-12,15:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-19,Asistió,Registro generado desde CSV.
49,51,65,2026-03-04,17:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-11,Justificado,Registro generado desde CSV.
50,132,5,2026-05-15,12:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-22,Asistió,Registro generado desde CSV.
51,47,97,2026-03-09,12:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-16,Justificado,Registro generado desde CSV.
52,203,38,2026-05-14,10:00,Presencial,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-21,Asistió,Registro generado desde CSV.
53,24,60,2026-05-31,17:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-07,Asistió,Registro generado desde CSV.
54,70,86,2026-03-30,13:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-06,Asistió,Registro generado desde CSV.
55,139,73,2026-04-19,13:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-26,Asistió,Registro generado desde CSV.
56,160,49,2026-04-07,14:00,Virtual,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-14,Asistió,Registro generado desde CSV.
57,206,67,2026-03-05,15:00,Virtual,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-12,Asistió,Registro generado desde CSV.
58,35,88,2026-04-08,17:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-15,Asistió,Registro generado desde CSV.
59,154,36,2026-03-30,14:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-06,Asistió,Registro generado desde CSV.
60,99,89,2026-03-15,9:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-22,No asistió,Registro generado desde CSV.
61,7,32,2026-03-06,15:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-13,Asistió,Registro generado desde CSV.
62,70,86,2026-03-28,15:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-04,Asistió,Registro generado desde CSV.
63,106,54,2026-05-01,9:00,Virtual,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-08,Asistió,Registro generado desde CSV.
64,134,25,2026-04-10,17:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-17,Asistió,Registro generado desde CSV.
65,116,86,2026-03-19,17:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-26,Asistió,Registro generado desde CSV.
66,130,60,2026-05-13,8:00,Presencial,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-20,No asistió,Registro generado desde CSV.
67,144,66,2026-04-04,8:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-11,No asistió,Registro generado desde CSV.
68,183,2,2026-05-20,11:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-27,No asistió,Registro generado desde CSV.
69,138,28,2026-03-16,11:00,Presencial,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-23,No asistió,Registro generado desde CSV.
70,16,98,2026-05-29,14:00,Virtual,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-05,Justificado,Registro generado desde CSV.
71,40,36,2026-05-12,12:00,Virtual,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-19,Asistió,Registro generado desde CSV.
72,124,16,2026-06-01,8:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-08,Asistió,Registro generado desde CSV.
73,102,56,2026-05-02,13:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-09,Asistió,Registro generado desde CSV.
74,199,52,2026-06-05,16:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-12,Asistió,Registro generado desde CSV.
75,12,91,2026-04-04,17:00,Presencial,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-11,Asistió,Registro generado desde CSV.
76,135,59,2026-03-06,15:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-13,Asistió,Registro generado desde CSV.
77,5,49,2026-04-05,8:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-12,Justificado,Registro generado desde CSV.
78,83,58,2026-03-14,13:00,Virtual,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-21,Asistió,Registro generado desde CSV.
79,61,19,2026-06-02,12:00,Presencial,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-09,Justificado,Registro generado desde CSV.
80,40,36,2026-03-20,16:00,Presencial,Control de avances del borrador,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-27,Justificado,Registro generado desde CSV.
81,85,60,2026-06-03,17:00,Presencial,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-10,No asistió,Registro generado desde CSV.
82,194,4,2026-06-15,13:00,Virtual,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-22,Asistió,Registro generado desde CSV.
83,196,74,2026-04-13,15:00,Presencial,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-20,Asistió,Registro generado desde CSV.
84,172,103,2026-03-14,14:00,Presencial,Revisión de metodología,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-21,No asistió,Registro generado desde CSV.
85,126,13,2026-04-13,8:00,Virtual,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-20,No asistió,Registro generado desde CSV.
86,27,96,2026-03-12,15:00,Presencial,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-03-19,Asistió,Registro generado desde CSV.
87,59,62,2026-05-24,17:00,Virtual,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-31,Asistió,Registro generado desde CSV.
88,151,24,2026-04-09,16:00,Presencial,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-16,No asistió,Registro generado desde CSV.
89,3,54,2026-04-12,16:00,Presencial,Corrección del marco teórico,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-19,Asistió,Registro generado desde CSV.
90,13,108,2026-06-10,13:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-17,Asistió,Registro generado desde CSV.
91,9,50,2026-04-23,8:00,Presencial,Revisión de objetivos y justificación,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-04-30,No asistió,Registro generado desde CSV.
92,202,14,2026-05-29,17:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-06-05,Asistió,Registro generado desde CSV.
93,195,42,2026-05-08,13:00,Virtual,Revisión del planteamiento del problema,Se revisaron los avances presentados por el estudiante.,Corregir observaciones y presentar nuevo avance.,2026-05-15,Asistió,Registro generado desde CSV.
