id_asignacion,id_estudiante,id_docente,fecha_asignacion,estado,observaciones
1,136,111,2026-03-05,Asignado,Tutor asignado según disponibilidad académica.
2,121,66,2026-04-08,Asignado,Tutor asignado según disponibilidad académica.
3,168,41,2026-02-15,Asignado,Tutor asignado según disponibilidad académica.
4,98,67,2026-04-19,Asignado,Tutor asignado según disponibilidad académica.
5,52,7,2026-04-08,Asignado,Tutor asignado según disponibilidad académica.
6,193,94,2026-03-28,Asignado,Tutor asignado según disponibilidad académica.
7,133,88,2026-03-01,Asignado,Tutor asignado según disponibilidad académica.
8,123,28,2026-04-26,Asignado,Tutor asignado según disponibilidad académica.
9,199,52,2026-04-16,Asignado,Tutor asignado según disponibilidad académica.
10,61,19,2026-03-01,Asignado,Tutor asignado según disponibilidad académica.
11,147,31,2026-03-30,Asignado,Tutor asignado según disponibilidad académica.
12,112,104,2026-04-30,Asignado,Tutor asignado según disponibilidad académica.
13,161,104,2026-04-27,Asignado,Tutor asignado según disponibilidad académica.
14,172,103,2026-03-10,Asignado,Tutor asignado según disponibilidad académica.
15,26,61,2026-03-30,Asignado,Tutor asignado según disponibilidad académica.
16,99,89,2026-03-28,Asignado,Tutor asignado según disponibilidad académica.
17,156,59,2026-03-17,Asignado,Tutor asignado según disponibilidad académica.
18,68,94,2026-02-19,Asignado,Tutor asignado según disponibilidad académica.
19,89,25,2026-04-16,Asignado,Tutor asignado según disponibilidad académica.
20,140,65,2026-02-18,Asignado,Tutor asignado según disponibilidad académica.
21,6,73,2026-02-16,Asignado,Tutor asignado según disponibilidad académica.
22,28,69,2026-02-21,Asignado,Tutor asignado según disponibilidad académica.
23,191,21,2026-04-05,Asignado,Tutor asignado según disponibilidad académica.
24,130,60,2026-04-13,Asignado,Tutor asignado según disponibilidad académica.
25,58,17,2026-03-15,Asignado,Tutor asignado según disponibilidad académica.
26,40,36,2026-04-09,Asignado,Tutor asignado según disponibilidad académica.
27,195,42,2026-03-22,Asignado,Tutor asignado según disponibilidad académica.
28,76,64,2026-03-07,Asignado,Tutor asignado según disponibilidad académica.
29,141,29,2026-03-24,Asignado,Tutor asignado según disponibilidad académica.
30,18,82,2026-04-09,Asignado,Tutor asignado según disponibilidad académica.
31,197,100,2026-04-26,Asignado,Tutor asignado según disponibilidad académica.
32,65,35,2026-02-16,Asignado,Tutor asignado según disponibilidad académica.
33,124,16,2026-03-13,Asignado,Tutor asignado según disponibilidad académica.
34,97,38,2026-02-20,Asignado,Tutor asignado según disponibilidad académica.
35,105,63,2026-02-28,Asignado,Tutor asignado según disponibilidad académica.
36,22,52,2026-03-07,Asignado,Tutor asignado según disponibilidad académica.
37,153,36,2026-02-26,Asignado,Tutor asignado según disponibilidad académica.
38,17,22,2026-03-04,Asignado,Tutor asignado según disponibilidad académica.
39,202,14,2026-03-29,Asignado,Tutor asignado según disponibilidad académica.
40,32,20,2026-03-28,Asignado,Tutor asignado según disponibilidad académica.
41,128,51,2026-02-24,Asignado,Tutor asignado según disponibilidad académica.
42,181,62,2026-03-30,Asignado,Tutor asignado según disponibilidad académica.
43,173,58,2026-04-07,Asignado,Tutor asignado según disponibilidad académica.
44,11,85,2026-04-01,Asignado,Tutor asignado según disponibilidad académica.
45,164,53,2026-03-06,Asignado,Tutor asignado según disponibilidad académica.
46,36,47,2026-02-17,Asignado,Tutor asignado según disponibilidad académica.
47,73,87,2026-04-27,Asignado,Tutor asignado según disponibilidad académica.
48,10,68,2026-02-26,Asignado,Tutor asignado según disponibilidad académica.
49,111,95,2026-04-21,Asignado,Tutor asignado según disponibilidad académica.
50,205,70,2026-03-31,Asignado,Tutor asignado según disponibilidad académica.
51,37,99,2026-04-29,Asignado,Tutor asignado según disponibilidad académica.
52,206,67,2026-03-11,Asignado,Tutor asignado según disponibilidad académica.
53,129,105,2026-03-15,Asignado,Tutor asignado según disponibilidad académica.
54,115,76,2026-03-07,Asignado,Tutor asignado según disponibilidad académica.
55,185,95,2026-05-02,Asignado,Tutor asignado según disponibilidad académica.
56,83,58,2026-02-18,Asignado,Tutor asignado según disponibilidad académica.
57,132,5,2026-04-16,Asignado,Tutor asignado según disponibilidad académica.
58,178,13,2026-05-03,Asignado,Tutor asignado según disponibilidad académica.
59,113,12,2026-03-15,Asignado,Tutor asignado según disponibilidad académica.
60,149,44,2026-04-13,Asignado,Tutor asignado según disponibilidad académica.
61,194,4,2026-04-19,Asignado,Tutor asignado según disponibilidad académica.
62,120,7,2026-04-05,Asignado,Tutor asignado según disponibilidad académica.
63,31,51,2026-03-02,Asignado,Tutor asignado según disponibilidad académica.
64,160,49,2026-05-02,Asignado,Tutor asignado según disponibilidad académica.
65,9,50,2026-04-17,Asignado,Tutor asignado según disponibilidad académica.
66,14,116,2026-03-25,Asignado,Tutor asignado según disponibilidad académica.
67,157,119,2026-03-21,Asignado,Tutor asignado según disponibilidad académica.
68,159,77,2026-04-13,Asignado,Tutor asignado según disponibilidad académica.
69,144,66,2026-04-13,Asignado,Tutor asignado según disponibilidad académica.
70,127,64,2026-03-17,Asignado,Tutor asignado según disponibilidad académica.
71,51,65,2026-04-11,Asignado,Tutor asignado según disponibilidad académica.
72,116,86,2026-04-30,Asignado,Tutor asignado según disponibilidad académica.
73,24,60,2026-03-02,Asignado,Tutor asignado según disponibilidad académica.
74,29,91,2026-04-14,Asignado,Tutor asignado según disponibilidad académica.
75,12,91,2026-04-11,Asignado,Tutor asignado según disponibilidad académica.
76,43,25,2026-02-22,Asignado,Tutor asignado según disponibilidad académica.
77,2,113,2026-03-24,Asignado,Tutor asignado según disponibilidad académica.
78,134,25,2026-03-03,Asignado,Tutor asignado según disponibilidad académica.
79,152,41,2026-04-05,Asignado,Tutor asignado según disponibilidad académica.
80,39,54,2026-04-29,Asignado,Tutor asignado según disponibilidad académica.
81,23,6,2026-04-04,Asignado,Tutor asignado según disponibilidad académica.
82,102,56,2026-03-10,Asignado,Tutor asignado según disponibilidad académica.
83,7,32,2026-04-26,Asignado,Tutor asignado según disponibilidad académica.
84,179,43,2026-04-12,Asignado,Tutor asignado según disponibilidad académica.
85,27,96,2026-03-21,Asignado,Tutor asignado según disponibilidad académica.
86,154,36,2026-04-14,Asignado,Tutor asignado según disponibilidad académica.
87,72,43,2026-02-27,Asignado,Tutor asignado según disponibilidad académica.
88,45,64,2026-03-23,Asignado,Tutor asignado según disponibilidad académica.
89,70,86,2026-04-16,Asignado,Tutor asignado según disponibilidad académica.
90,145,28,2026-03-11,Asignado,Tutor asignado según disponibilidad académica.
91,122,59,2026-03-11,Asignado,Tutor asignado según disponibilidad académica.
92,16,98,2026-03-23,Asignado,Tutor asignado según disponibilidad académica.
93,137,55,2026-03-16,Asignado,Tutor asignado según disponibilidad académica.
94,35,88,2026-04-05,Asignado,Tutor asignado según disponibilidad académica.
95,41,2,2026-03-11,Asignado,Tutor asignado según disponibilidad académica.
96,118,33,2026-03-26,Asignado,Tutor asignado según disponibilidad académica.
97,126,13,2026-04-06,Asignado,Tutor asignado según disponibilidad académica.
98,87,119,2026-04-27,Asignado,Tutor asignado según disponibilidad académica.
99,86,16,2026-02-26,Asignado,Tutor asignado según disponibilidad académica.
100,4,105,2026-04-20,Asignado,Tutor asignado según disponibilidad académica.
101,138,28,2026-03-17,Asignado,Tutor asignado según disponibilidad académica.
102,107,61,2026-02-27,Asignado,Tutor asignado según disponibilidad académica.
103,208,24,2026-04-24,Asignado,Tutor asignado según disponibilidad académica.
104,209,41,2026-02-21,Asignado,Tutor asignado según disponibilidad académica.
105,201,1,2026-03-26,Asignado,Tutor asignado según disponibilidad académica.
106,196,74,2026-03-26,Asignado,Tutor asignado según disponibilidad académica.
107,34,48,2026-03-01,Asignado,Tutor asignado según disponibilidad académica.
108,186,24,2026-03-14,Asignado,Tutor asignado según disponibilidad académica.
109,3,54,2026-02-28,Asignado,Tutor asignado según disponibilidad académica.
110,59,62,2026-04-20,Asignado,Tutor asignado según disponibilidad académica.
111,85,60,2026-02-17,Asignado,Tutor asignado según disponibilidad académica.
112,165,91,2026-04-20,Asignado,Tutor asignado según disponibilidad académica.
113,166,34,2026-03-23,Asignado,Tutor asignado según disponibilidad académica.
114,46,105,2026-03-12,Asignado,Tutor asignado según disponibilidad académica.
115,135,59,2026-02-25,Asignado,Tutor asignado según disponibilidad académica.
116,106,54,2026-03-16,Asignado,Tutor asignado según disponibilidad académica.
117,175,45,2026-04-17,Asignado,Tutor asignado según disponibilidad académica.
118,93,103,2026-02-26,Asignado,Tutor asignado según disponibilidad académica.
119,189,114,2026-03-10,Asignado,Tutor asignado según disponibilidad académica.
120,162,88,2026-04-19,Asignado,Tutor asignado según disponibilidad académica.
121,96,48,2026-03-07,Asignado,Tutor asignado según disponibilidad académica.
122,42,81,2026-03-31,Asignado,Tutor asignado según disponibilidad académica.
123,92,93,2026-03-28,Asignado,Tutor asignado según disponibilidad académica.
124,125,42,2026-04-10,Asignado,Tutor asignado según disponibilidad académica.
125,148,57,2026-03-01,Asignado,Tutor asignado según disponibilidad académica.
126,47,97,2026-03-26,Asignado,Tutor asignado según disponibilidad académica.
127,192,17,2026-04-19,Asignado,Tutor asignado según disponibilidad académica.
128,13,108,2026-04-09,Asignado,Tutor asignado según disponibilidad académica.
129,66,7,2026-02-20,Asignado,Tutor asignado según disponibilidad académica.
130,91,18,2026-02-25,Asignado,Tutor asignado según disponibilidad académica.
131,54,85,2026-02-22,Asignado,Tutor asignado según disponibilidad académica.
132,207,50,2026-03-09,Asignado,Tutor asignado según disponibilidad académica.
133,151,24,2026-04-05,Asignado,Tutor asignado según disponibilidad académica.
134,117,77,2026-04-12,Asignado,Tutor asignado según disponibilidad académica.
135,69,27,2026-04-15,Asignado,Tutor asignado según disponibilidad académica.
136,110,58,2026-04-09,Asignado,Tutor asignado según disponibilidad académica.
137,63,51,2026-04-10,Asignado,Tutor asignado según disponibilidad académica.
138,25,79,2026-04-10,Asignado,Tutor asignado según disponibilidad académica.
139,79,10,2026-04-17,Asignado,Tutor asignado según disponibilidad académica.
140,44,76,2026-04-04,Asignado,Tutor asignado según disponibilidad académica.
141,184,98,2026-04-17,Asignado,Tutor asignado según disponibilidad académica.
142,171,10,2026-03-12,Asignado,Tutor asignado según disponibilidad académica.
143,75,35,2026-04-10,Asignado,Tutor asignado según disponibilidad académica.
144,176,73,2026-04-25,Asignado,Tutor asignado según disponibilidad académica.
145,53,73,2026-02-27,Asignado,Tutor asignado según disponibilidad académica.
146,104,87,2026-04-21,Asignado,Tutor asignado según disponibilidad académica.
147,143,119,2026-03-22,Asignado,Tutor asignado según disponibilidad académica.
148,169,80,2026-02-18,Asignado,Tutor asignado según disponibilidad académica.
149,38,27,2026-05-02,Asignado,Tutor asignado según disponibilidad académica.
150,139,73,2026-04-16,Asignado,Tutor asignado según disponibilidad académica.
151,203,38,2026-04-15,Asignado,Tutor asignado según disponibilidad académica.
152,5,49,2026-05-04,Asignado,Tutor asignado según disponibilidad académica.
153,158,18,2026-03-07,Asignado,Tutor asignado según disponibilidad académica.
154,88,46,2026-03-25,Asignado,Tutor asignado según disponibilidad académica.
155,183,2,2026-05-05,Asignado,Tutor asignado según disponibilidad académica.